"Date	Julian_Day	Data",,,,年,月,平均,,计算表,1,2,3,4,5,6,7,8,9,10,11,12,,,各年一月,src-1,src1+src2,
"1998-03-00	2450888	-10.306",,,,1998,3,-10.306,,,,,,,,,,,,,,,,,,,,
"1998-04-00	2450919	-3.323",,,,1998,4,-3.323,,,,,,,,,,,,,,,,,,,,
"1998-05-00	2450949	5.229",,,,1998,5,5.229,,,,,,,,,,,,,,,,,,,,
"1998-06-00	2450980	14.170",,,,1998,6,14.17,,,,,,,,,,,,,,,,,,,,
"1998-07-00	2451010	15.097",,,,1998,7,15.097,,,,,,,,,,,,,,,,,,,,
"1998-08-00	2451041	15.829",,,,1998,8,15.829,,,,,,,,,,,,,,,,,,,,
"1998-09-00	2451072	8.500",,,,1998,9,8.5,,,,,,,,,,,,,,,,,,,,
"1998-10-00	2451102	1.548",,,,1998,10,1.548,,,,,,,,,,,,,,,,,,,,
"1998-11-00	2451133	-6.510",,,,1998,11,-6.51,,,,,,,,,,,,,,,,,,,,
"1998-12-00	2451163	-18.300",,,,1998,12,-18.3,,,,,,,,,,,,,,,,,,,,
"1999-01-00	2451194	-21.987",,,,1999,1,-21.987,,,,,,,,,,,,,,,,,,,,
"1999-02-00	2451225	-14.946",,,,1999,2,-14.946,,,,,,,,,,,,,,,,,,,,
"1999-03-00	2451253	-17.113",,,,1999,3,-17.113,,,,,,,,,,,,,,,,,,,,
"1999-04-00	2451284	-1.567",,,,1999,4,-1.567,,,,,,,,,,,,,,,,,,,,
"1999-05-00	2451314	8.806",,,,1999,5,8.806,,,,,,,,,,,,,,,,,,,,
"1999-06-00	2451345	11.747",,,,1999,6,11.747,,,,,,,,,,,,,,,,,,,,
"1999-07-00	2451375	15.639",,,,1999,7,15.639,,,,,,,,,,,,,,,,,,,,
"1999-08-00	2451406	14.342",,,,1999,8,14.342,,,,,,,,,,,,,,,,,,,,
"1999-09-00	2451437	7.100",,,,1999,9,7.1,,,,,,,,,,,,,,,,,,,,
"1999-10-00	2451467	1.977",,,,1999,10,1.977,,,,,,,,,,,,,,,,,,,,
"1999-11-00	2451498	-6.913",,,,1999,11,-6.913,,,,,,,,,,,,,,,,,,,,
"1999-12-00	2451528	-16.290",,,,1999,12,-16.29,,,,,,,,,,,,,,,,,,,,
"2000-01-00	2451559	-22.884",,,,2000,1,-22.884,,,,,,,,,,,,,,,,,,,,
"2000-02-00	2451590	-17.824",,,,2000,2,-17.824,,,,,,,,,,,,,,,,,,,,
"2000-03-00	2451619	-12.039",,,,2000,3,-12.039,,,,,,,,,,,,,,,,,,,,
"2000-04-00	2451650	2.393",,,,2000,4,2.393,,,,,,,,,,,,,,,,,,,,
"2000-05-00	2451680	7.584",,,,2000,5,7.584,,,,,,,,,,,,,,,,,,,,
"2000-06-00	2451711	12.903",,,,2000,6,12.903,,,,,,,,,,,,,,,,,,,,
"2000-07-00	2451741	14.948",,,,2000,7,14.948,,,,,,,,,,,,,,,,,,,,
"2000-08-00	2451772	13.948",,,,2000,8,13.948,,,,,,,,,,,,,,,,,,,,
"2000-09-00	2451803	9.100",,,,2000,9,9.1,,,,,,,,,,,,,,,,,,,,
"2000-10-00	2451833	-3.626",,,,2000,10,-3.626,,,,,,,,,,,,,,,,,,,,
"2000-11-00	2451864	-14.017",,,,2000,11,-14.017,,,,,,,,,,,,,,,,,,,,
"2000-12-00	2451894	-18.519",,,,2000,12,-18.519,,,,,,,,,,,,,,,,,,,,
"2001-01-00	2451925	-22.703",,,,2001,1,-22.703,,,,,,,,,,,,,,,,,,,,
"2001-02-00	2451956	-18.736",,,,2001,2,-18.736,,,,,,,,,,,,,,,,,,,,
"2001-03-00	2451984	-10.284",,,,2001,3,-10.284,,,,,,,,,,,,,,,,,,,,
"2001-04-00	2452015	-2.403",,,,2001,4,-2.403,,,,,,,,,,,,,,,,,,,,
"2001-05-00	2452045	6.555",,,,2001,5,6.555,,,,,,,,,,,,,,,,,,,,
"2001-06-00	2452076	12.813",,,,2001,6,12.813,,,,,,,,,,,,,,,,,,,,
"2001-07-00	2452106	13.526",,,,2001,7,13.526,,,,,,,,,,,,,,,,,,,,
"2001-08-00	2452137	14.006",,,,2001,8,14.006,,,,,,,,,,,,,,,,,,,,
"2001-09-00	2452168	7.000",,,,2001,9,7,,,,,,,,,,,,,,,,,,,,
"2001-10-00	2452198	0.052",,,,2001,10,0.052,,,,,,,,,,,,,,,,,,,,
"2001-11-00	2452229	-4.783",,,,2001,11,-4.783,,,,,,,,,,,,,,,,,,,,
"2001-12-00	2452259	-19.210",,,,2001,12,-19.21,,,,,,,,,,,,,,,,,,,,
"2002-01-00	2452290	-17.584",,,,2002,1,-17.584,,,,,,,,,,,,,,,,,,,,
"2002-02-00	2452321	-15.607",,,,2002,2,-15.607,,,,,,,,,,,,,,,,,,,,
"2002-03-00	2452349	-9.371",,,,2002,3,-9.371,,,,,,,,,,,,,,,,,,,,
"2002-04-00	2452380	-2.523",,,,2002,4,-2.523,,,,,,,,,,,,,,,,,,,,
"2002-05-00	2452410	6.416",,,,2002,5,6.416,,,,,,,,,,,,,,,,,,,,
"2002-06-00	2452441	12.130",,,,2002,6,12.13,,,,,,,,,,,,,,,,,,,,
"2002-07-00	2452471	13.842",,,,2002,7,13.842,,,,,,,,,,,,,,,,,,,,
"2002-08-00	2452502	14.265",,,,2002,8,14.265,,,,,,,,,,,,,,,,,,,,
"2002-09-00	2452533	8.800",,,,2002,9,8.8,,,,,,,,,,,,,,,,,,,,
"2002-10-00	2452563	1.558",,,,2002,10,1.558,,,,,,,,,,,,,,,,,,,,
"2002-11-00	2452594	-5.740",,,,2002,11,-5.74,,,,,,,,,,,,,,,,,,,,
"2002-12-00	2452624	-17.716",,,,2002,12,-17.716,,,,,,,,,,,,,,,,,,,,
"2003-01-00	2452655	-19.771",,,,2003,1,-19.771,,,,,,,,,,,,,,,,,,,,
"2003-02-00	2452686	-17.904",,,,2003,2,-17.904,,,,,,,,,,,,,,,,,,,,
"2003-03-00	2452714	-12.377",,,,2003,3,-12.377,,,,,,,,,,,,,,,,,,,,
"2003-04-00	2452745	-3.917",,,,2003,4,-3.917,,,,,,,,,,,,,,,,,,,,
"2003-05-00	2452775	6.984",,,,2003,5,6.984,,,,,,,,,,,,,,,,,,,,
"2003-06-00	2452806	13.703",,,,2003,6,13.703,,,,,,,,,,,,,,,,,,,,
"2003-07-00	2452836	12.681",,,,2003,7,12.681,,,,,,,,,,,,,,,,,,,,
"2003-08-00	2452867	12.381",,,,2003,8,12.381,,,,,,,,,,,,,,,,,,,,
"2003-09-00	2452898	8.400",,,,2003,9,8.4,,,,,,,,,,,,,,,,,,,,
"2003-10-00	2452928	1.390",,,,2003,10,1.39,,,,,,,,,,,,,,,,,,,,
"2003-11-00	2452959	-10.473",,,,2003,11,-10.473,,,,,,,,,,,,,,,,,,,,
"2003-12-00	2452989	-19.568",,,,2003,12,-19.568,,,,,,,,,,,,,,,,,,,,
"2004-01-00	2453020	-22.642",,,,2004,1,-22.642,,,,,,,,,,,,,,,,,,,,
"2004-02-00	2453051	-16.910",,,,2004,2,-16.91,,,,,,,,,,,,,,,,,,,,
"2004-03-00	2453080	-12.448",,,,2004,3,-12.448,,,,,,,,,,,,,,,,,,,,
"2004-04-00	2453111	0.123",,,,2004,4,0.123,,,,,,,,,,,,,,,,,,,,
"2004-05-00	2453141	7.890",,,,2004,5,7.89,,,,,,,,,,,,,,,,,,,,
"2004-06-00	2453172	12.980",,,,2004,6,12.98,,,,,,,,,,,,,,,,,,,,
"2004-07-00	2453202	14.839",,,,2004,7,14.839,,,,,,,,,,,,,,,,,,,,
"2004-08-00	2453233	12.581",,,,2004,8,12.581,,,,,,,,,,,,,,,,,,,,
"2004-09-00	2453264	7.500",,,,2004,9,7.5,,,,,,,,,,,,,,,,,,,,
"2004-10-00	2453294	0.452",,,,2004,10,0.452,,,,,,,,,,,,,,,,,,,,
"2004-11-00	2453325	-8.347",,,,2004,11,-8.347,,,,,,,,,,,,,,,,,,,,
"2004-12-00	2453355	-18.287",,,,2004,12,-18.287,,,,,,,,,,,,,,,,,,,,
"2005-01-00	2453386	-24.303",,,,2005,1,-24.303,,,,,,,,,,,,,,,,,,,,
"2005-02-00	2453417	-22.604",,,,2005,2,-22.604,,,,,,,,,,,,,,,,,,,,
"2005-03-00	2453445	-7.752",,,,2005,3,-7.752,,,,,,,,,,,,,,,,,,,,
"2005-04-00	2453476	-1.260",,,,2005,4,-1.26,,,,,,,,,,,,,,,,,,,,
"2005-05-00	2453506	6.277",,,,2005,5,6.277,,,,,,,,,,,,,,,,,,,,
"2005-06-00	2453537	12.690",,,,2005,6,12.69,,,,,,,,,,,,,,,,,,,,
"2005-07-00	2453567	14.745",,,,2005,7,14.745,,,,,,,,,,,,,,,,,,,,
"2005-08-00	2453598	13.139",,,,2005,8,13.139,,,,,,,,,,,,,,,,,,,,
"2005-09-00	2453629	9.200",,,,2005,9,9.2,,,,,,,,,,,,,,,,,,,,
"2005-10-00	2453659	2.377",,,,2005,10,2.377,,,,,,,,,,,,,,,,,,,,
"2005-11-00	2453690	-8.567",,,,2005,11,-8.567,,,,,,,,,,,,,,,,,,,,
"2005-12-00	2453720	-20.268",,,,2005,12,-20.268,,,,,,,,,,,,,,,,,,,,
"2006-01-00	2453751	-22.258",,,,2006,1,-22.258,,,,,,,,,,,,,,,,,,,,
"2006-02-00	2453782	-17.654",,,,2006,2,-17.654,,,,,,,,,,,,,,,,,,,,
"2006-03-00	2453810	-10.806",,,,2006,3,-10.806,,,,,,,,,,,,,,,,,,,,
"2006-04-00	2453841	-1.367",,,,2006,4,-1.367,,,,,,,,,,,,,,,,,,,,
"2006-05-00	2453871	6.161",,,,2006,5,6.161,,,,,,,,,,,,,,,,,,,,
"2006-06-00	2453902	13.007",,,,2006,6,13.007,,,,,,,,,,,,,,,,,,,,
"2006-07-00	2453932	13.916",,,,2006,7,13.916,,,,,,,,,,,,,,,,,,,,
"2006-08-00	2453963	12.626",,,,2006,8,12.626,,,,,,,,,,,,,,,,,,,,
"2006-09-00	2453994	8.500",,,,2006,9,8.5,,,,,,,,,,,,,,,,,,,,
"2006-10-00	2454024	1.000",,,,2006,10,1,,,,,,,,,,,,,,,,,,,,
"2006-11-00	2454055	-3.377",,,,2006,11,-3.377,,,,,,,,,,,,,,,,,,,,
"2006-12-00	2454085	-13.006",,,,2006,12,-13.006,,,,,,,,,,,,,,,,,,,,
